canonical_name,appid
Counter-Strike 2,730
Dota 2,570
PUBG: BATTLEGROUNDS,578080
Apex Legends™,1172470
渔力全开,4001890
幻兽帕鲁,1623730
HELLDIVERS™ 2,553850
漫威争锋,2767030
Grand Theft Auto V 传承版,271590
The Binding of Isaac: Rebirth,250900
Slay the Spire 2,2868840
EA SPORTS FC™ 26,3405690
PEAK,3527290
彩虹六号：围攻,359550
Terraria,105600
守望先锋®,2357570
战地风云™ 6,2807960
War Thunder,236390
Project Zomboid,108600
黎明杀机,381210
Geometry Dash,322170
Stardew Valley,413150
Grand Theft Auto V 增强版,3240220
Deadlock,1422450
Rust,252490
Warframe 星际战甲,230410
三角洲行动,2507950
使命召唤®：现代战争® 4试玩,4783780
Limbus Company,1973530
Euro Truck Simulator 2,227300
博德之门3,1086940
Left 4 Dead 2,550
赛博朋克 2077,1091500
Team Fortress 2,440
VRChat,438100
永劫无间,1203220
R.E.P.O.,3241660
饥荒联机版,322330
Hearts of Iron IV,394360
使命召唤®,1938090
BeamNG.drive,284160
Red Dead Redemption 2,1174180
TBH: 塔斯克巴·英雄,3678970
Garry's Mod,4000
极限竞速：地平线 6,2483190
艾尔登法环,1245620
Yu-Gi-Oh! Master Duel,1449850
MECCHA CHAMELEON,4704690
全面战争：战锤3,1142710
eFootball™,1665460
黑神话：悟空,2358720
The Sims™ 4,1222670
Rocket League®,252950
The Elder Scrolls V: Skyrim Special Edition,489830
Sid Meier’s Civilization® VI,289070
Wuthering Waves,3513350
Mount & Blade II: Bannerlord,261550
Street Fighter 6,1364780
ARC Raiders,1808500
Farming Simulator 25,2300320
7 Days to Die,251570
Brawlhalla,291550
致命躯壳 II,2584270
NBA 2K26,3472040
Among Us,945360
DayZ,221100
潜行者2：切尔诺贝利之心,1643320
暗区突围：无限,2073620
命运2,1085660
Bongo Cat,3419430
Big Walk,1478500
足球经理26,3551340
边缘世界 RimWorld,294100
神力科莎 Assetto Corsa,244210
Crusader Kings III,1158310
Age of Empires II: Definitive Edition,813780
Aimlabs,714010
THE FINALS,2073850
Bloons TD 6,960090
Path of Exile,238960
艾尔登法环 黑夜君临,2622380
Phasmophobia 恐鬼症,739630
Escape from Tarkov,3932890
Fields of Mistria,2142790
猎杀：对决 1896,594650
幽灵行动：荒野,460930
巫师 3：狂猎,292030
Ready or Not,1144200
Monster Hunter Wilds,2246340
绝区零,4162040
Valheim: 英灵神殿,892970
"Warhammer 40,000: 星际战士2",2183900
使命召唤®：现代战争® 4,4435490
WARDOGS,1867240
No More Room in Hell 2,292000
星球大战 零号连队™,2075800
人间地狱：越南,3079210
Bodycam,2406770
EA SPORTS™Madden NFL 27,3940610
NBA 2K27,4356430
西西弗斯放置（Sisyphus Idle）,5048740
莫待无花空折枝：做题家的 Git 重启日志,4972160
卡拉马佐夫兄弟,4955990
哈迪和莫莉,4859490
挂机魔王,4932620
小狗不上班,4989590
东方桌宠,4653120
夯犇绿色传奇,4951370
遇见数独,4932400
美少女旅馆：可爱即是正义，但正义需要处刑,4632600
三国蜀汉传,3669490
喵咪争霸,3998900
中医模拟练习生,4651150
整理工坊 The Sorting Bureau,4120790
地牢识谎,2708230
喵德行 Meowdness,4822000
神探夏洛克：暗夜追踪者,3561740
生肖山,2996150
醉风酒,3222890
一起收拾大商场,4962010
秘密告白,4796160
1000王子: ChouChou Condo (甜心公寓),4846800
Damage象棋,5031550
请去Bar，恋爱吧！,4734650
食刻,4607480
陋室与猫,4834190
烽烟四起,4915470
赤马,1188380
半日酒馆,4853120
双球同行,4216750
花满楼,3749320
猫咪狂想曲,4773980
长生仙途,4809400
水线之下（Fish Slayer）,4542590
魔女工厂,3971650
全网有点怪,4243330
大侠狂想曲,4125770
赫尔墨斯图书馆,3264440
帝国：权杖与文明,3486430
落命病棟 The Falling Hospital,4998500
度假咖啡厅模拟器,3196440
弹珠时光,2836460
酒后出牌,3345950
喂龙高手,3966510
节奏汪星,4029740
不劳则死,3617300
KOTAMON：妹妹麦片盒开出超稀有卡牌，我干脆当垃圾清运工集齐整套藏品怒赚百万美元,4294490
两个世界的过客,1091870
墨西哥忍者,3764970
21点,5019060
废土幸存者：爆心英雄,2570580
加里波利,3065940
宇宙塔防图论,4232270
又一个僵尸幸存者,2163330
一夜白骰,4772010
你的痛柜可以种出女孩吗？,4289150
小浪舟,5009320
PengPong 弹企鹅,2766910
少女死神养成计划,2621930
宽恕我（Show me mercy）,4840590
绍宋: 还我河山,4292950
LABYRINTHOS：深渊的迷宮,3883290
幽灵地铁,3826420
开源麻将平台,4565740
一笔勾销,4960800
放置领主：财富之城,4315040
天雨粟,5012340
纳鲁尔战纪,4929320
单休公寓,4862220
外星入侵：自走棋,2327640
劫后公司,3337140
Pokerist 的 Vegas Keno,4355330
神临,5013950
真理部：虚假记忆,3492150
被击垮而堕落的强气人妻,4376090
宠物街金鱼姬 Pet Street Story,2876050
梦魇牌,3726730
小试牛刀,4955550
蒸汽世界,1996090
守护我的大火箭,4532550
南派盗墓传奇,4911220
噜噜爪爪,4976750
最后的海盗：无人生还,4317790
渡资：摆渡人的账本,4990390
堆叠妖怪,3729550
迷雾岛屿求生,3593740
The Collection藏品,4794880
星砂岛,2966320
井域：喀洛之血,2648900
光与影之恋 Chiaroscuro Lovers,4412960
修仙·卦象录,4940470
急速坠落,4898710
元素奇兵：英雄集结令,2598990
尘崩,5018940
万界牌：轮回湮灭,5022780
咕噜咕噜,4956830
无限数字工厂,4955650
蟹运轮回-破碎的世界,2401490
图科尼：森林看护者,2933200
中世纪马贩子模拟器,3503710
幻想序章: Genesis,4939630
放血医师,3493400
兽的国：猫,4915190
东方,4576040
演义三国,4382980
末日战姬：废土觉醒,4977680
御魂传说,4851970
那是人类器官吗？,5014260
蒸汽战士,2698100
麻将百科,4855430
心动发条,3756930
迹 RELIC,4764530
世纪末苏醒,4659330
键盘侠：键入即毁灭,4595820
猎梦保卫战,4737040
鲜花与众神,3816000
超级节奏健身,4279200
浩游超超超变,4919260
妹妹、他人、妄想症,4240150
Cosmo in Tarot: Tarot Study Simulator塔罗宇宙自学模拟器,4958720
王国契约：放置守护之塔,4467960
防御遗产,3135200
静默恐惧：阿瑞斯深渊劫,4042160
故事引擎：随心所叙,4763330
天宫乱斗,4920140
电子烟店：迈阿密,3281790
回弹深渊,3084370
我有一堆录像带,4934370
前哨站4,4271680
破晓之墟,4364910
战傀志,2458370
掠宝旅团,3091140
小小吸血姬,4838470
缴费与香烟,4255120
勇者和他的朋友,4910300
