canonical_name,appid,cohort,source,source_rank,release_date,item_type
Counter-Strike 2,730,popular,steam_most_played,1,,game
Dota 2,570,popular,steam_most_played,2,,game
PUBG: BATTLEGROUNDS,578080,popular,steam_most_played,3,,game
Apex Legends™,1172470,popular,steam_most_played,5,,game
渔力全开,4001890,popular,steam_most_played,6,,game
幻兽帕鲁,1623730,popular,steam_most_played,7,,game
HELLDIVERS™ 2,553850,popular,steam_most_played,8,,game
漫威争锋,2767030,popular,steam_most_played,9,,game
Grand Theft Auto V 传承版,271590,popular,steam_most_played,10,,game
The Binding of Isaac: Rebirth,250900,popular,steam_most_played,11,,game
Slay the Spire 2,2868840,popular,steam_most_played,12,,game
EA SPORTS FC™ 26,3405690,popular,steam_most_played,13,,game
PEAK,3527290,popular,steam_most_played,15,,game
彩虹六号：围攻,359550,popular,steam_most_played,16,,game
Terraria,105600,popular,steam_most_played,17,,game
守望先锋®,2357570,popular,steam_most_played,18,,game
战地风云™ 6,2807960,popular,steam_most_played,19,,game
War Thunder,236390,popular,steam_most_played,20,,game
Project Zomboid,108600,popular,steam_most_played,21,,game
黎明杀机,381210,popular,steam_most_played,22,,game
Geometry Dash,322170,popular,steam_most_played,23,,game
Stardew Valley,413150,popular,steam_most_played,24,,game
Grand Theft Auto V 增强版,3240220,popular,steam_most_played,25,,game
Deadlock,1422450,popular,steam_most_played,26,,game
Rust,252490,popular,steam_most_played,27,,game
Warframe 星际战甲,230410,popular,steam_most_played,28,,game
三角洲行动,2507950,popular,steam_most_played,29,,game
使命召唤®：现代战争® 4试玩,4783780,popular,steam_most_played,30,,game
Limbus Company,1973530,popular,steam_most_played,31,,game
Euro Truck Simulator 2,227300,popular,steam_most_played,32,,game
博德之门3,1086940,popular,steam_most_played,33,,game
Left 4 Dead 2,550,popular,steam_most_played,34,,game
赛博朋克 2077,1091500,popular,steam_most_played,35,,game
Team Fortress 2,440,popular,steam_most_played,36,,game
VRChat,438100,popular,steam_most_played,37,,game
永劫无间,1203220,popular,steam_most_played,39,,game
R.E.P.O.,3241660,popular,steam_most_played,40,,game
饥荒联机版,322330,popular,steam_most_played,41,,game
Hearts of Iron IV,394360,popular,steam_most_played,42,,game
使命召唤®,1938090,popular,steam_most_played,43,,game
BeamNG.drive,284160,popular,steam_most_played,44,,game
Red Dead Redemption 2,1174180,popular,steam_most_played,45,,game
TBH: 塔斯克巴·英雄,3678970,popular,steam_most_played,46,,game
Garry's Mod,4000,popular,steam_most_played,48,,game
极限竞速：地平线 6,2483190,popular,steam_most_played,49,,game
艾尔登法环,1245620,popular,steam_most_played,50,,game
Yu-Gi-Oh! Master Duel,1449850,popular,steam_most_played,51,,game
MECCHA CHAMELEON,4704690,popular,steam_most_played,52,,game
全面战争：战锤3,1142710,popular,steam_most_played,53,,game
eFootball™,1665460,popular,steam_most_played,54,,game
黑神话：悟空,2358720,popular,steam_most_played,55,,game
The Sims™ 4,1222670,popular,steam_most_played,56,,game
Rocket League®,252950,popular,steam_most_played,57,,game
The Elder Scrolls V: Skyrim Special Edition,489830,popular,steam_most_played,58,,game
Sid Meier’s Civilization® VI,289070,popular,steam_most_played,59,,game
Wuthering Waves,3513350,popular,steam_most_played,60,,game
Mount & Blade II: Bannerlord,261550,popular,steam_most_played,61,,game
Street Fighter 6,1364780,popular,steam_most_played,62,,game
ARC Raiders,1808500,popular,steam_most_played,63,,game
Farming Simulator 25,2300320,popular,steam_most_played,64,,game
7 Days to Die,251570,popular,steam_most_played,65,,game
Brawlhalla,291550,popular,steam_most_played,66,,game
致命躯壳 II,2584270,popular,steam_most_played,68,,game
NBA 2K26,3472040,popular,steam_most_played,69,,game
Among Us,945360,popular,steam_most_played,70,,game
DayZ,221100,popular,steam_most_played,71,,game
